snapshot_artifact_id,snapshot_id,artifact_name,artifact_sha256,artifact_bytes,recorded_access_date,recorded_source_url,artifact_format,distribution_status
COHORT_20260629_CSV,FDA_AI_LIST_2026-06-29,fda_ai_enabled_devices_2026-06-29.csv,4da0d15a1dcc7b6a7d45364f243e85aa4407ba3b63b6922a16fdbf96fea0d41d,132922,2026-06-29,https://www.fda.gov/media/178541/download?attachment,CSV,DISTRIBUTED_IN_RELEASE_SOURCE_ARCHIVES
COHORT_20260629_XLSX,FDA_AI_LIST_2026-06-29,fda_ai_enabled_devices_2026-06-29.xlsx,ced5c4a50d402eacc667fbfe99d62a2352cb5e68fdb58c5d8e0b18cc71acfc1b,122741,2026-06-29,https://www.fda.gov/media/178540/download?attachment,XLSX,DISTRIBUTED_IN_RELEASE_SOURCE_ARCHIVES
COHORT_20260629_METADATA,FDA_AI_LIST_2026-06-29,source_metadata_2026-06-29.txt,ce075cf084ae6c22dd52e4828bc79c5b8201fbb70278eb62b606e17b55b4d56c,1026,2026-06-29,https://www.fda.gov/medical-devices/software-medical-device-samd/artificial-intelligence-enabled-medical-devices,TXT,DISTRIBUTED_IN_RELEASE_SOURCE_ARCHIVES
