submission_number,snapshot_id,snapshot_row_number,primary_product_code,metadata_match_status
K251474,FDA_AI_LIST_2026-06-29,62,QDQ,MATCH_AFTER_DATE_NORMALIZATION
K253780,FDA_AI_LIST_2026-06-29,63,LNH,MATCH_AFTER_DATE_NORMALIZATION
K253779,FDA_AI_LIST_2026-06-29,64,LNH,MATCH_AFTER_DATE_NORMALIZATION
K260104,FDA_AI_LIST_2026-06-29,65,QHE,MATCH_AFTER_DATE_NORMALIZATION
K251200,FDA_AI_LIST_2026-06-29,66,QME,MATCH_AFTER_DATE_NORMALIZATION
K251769,FDA_AI_LIST_2026-06-29,67,POK,MATCH_AFTER_DATE_NORMALIZATION
K252091,FDA_AI_LIST_2026-06-29,68,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252496,FDA_AI_LIST_2026-06-29,69,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251306,FDA_AI_LIST_2026-06-29,70,QKB,MATCH_AFTER_DATE_NORMALIZATION
K251195,FDA_AI_LIST_2026-06-29,71,QAS,MATCH_AFTER_DATE_NORMALIZATION
K243349,FDA_AI_LIST_2026-06-29,72,DSI,MATCH_AFTER_DATE_NORMALIZATION
K251351,FDA_AI_LIST_2026-06-29,73,QKB,MATCH_AFTER_DATE_NORMALIZATION
K252984,FDA_AI_LIST_2026-06-29,74,DRG,MATCH_AFTER_DATE_NORMALIZATION
K251511,FDA_AI_LIST_2026-06-29,75,PPU,MATCH_AFTER_DATE_NORMALIZATION
K253735,FDA_AI_LIST_2026-06-29,76,QIH,MATCH_AFTER_DATE_NORMALIZATION
K253057,FDA_AI_LIST_2026-06-29,77,QIH,MATCH_AFTER_DATE_NORMALIZATION
K253173,FDA_AI_LIST_2026-06-29,78,JAK,MATCH_AFTER_DATE_NORMALIZATION
K251934,FDA_AI_LIST_2026-06-29,79,MYN,MATCH_AFTER_DATE_NORMALIZATION
K252634,FDA_AI_LIST_2026-06-29,80,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252934,FDA_AI_LIST_2026-06-29,81,MYN,MATCH_AFTER_DATE_NORMALIZATION
K253023,FDA_AI_LIST_2026-06-29,82,OUO,MATCH_AFTER_DATE_NORMALIZATION
K252188,FDA_AI_LIST_2026-06-29,83,IYE,MATCH_AFTER_DATE_NORMALIZATION
K254001,FDA_AI_LIST_2026-06-29,84,KPS,MATCH_AFTER_DATE_NORMALIZATION
K251558,FDA_AI_LIST_2026-06-29,85,QHE,MATCH_AFTER_DATE_NORMALIZATION
K252842,FDA_AI_LIST_2026-06-29,86,GWF,MATCH_AFTER_DATE_NORMALIZATION
K252589,FDA_AI_LIST_2026-06-29,87,MHX,MATCH_AFTER_DATE_NORMALIZATION
K253370,FDA_AI_LIST_2026-06-29,88,IYN,MATCH_AFTER_DATE_NORMALIZATION
K253009,FDA_AI_LIST_2026-06-29,89,MYN,MATCH_AFTER_DATE_NORMALIZATION
K252970,FDA_AI_LIST_2026-06-29,90,QAS,MATCH_AFTER_DATE_NORMALIZATION
K253366,FDA_AI_LIST_2026-06-29,91,IYN,MATCH_AFTER_DATE_NORMALIZATION
K252018,FDA_AI_LIST_2026-06-29,92,IYN,MATCH_AFTER_DATE_NORMALIZATION
K253532,FDA_AI_LIST_2026-06-29,93,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252379,FDA_AI_LIST_2026-06-29,94,LNH,MATCH_AFTER_DATE_NORMALIZATION
K253091,FDA_AI_LIST_2026-06-29,95,MUJ,MATCH_AFTER_DATE_NORMALIZATION
K252856,FDA_AI_LIST_2026-06-29,96,QIH,MATCH_AFTER_DATE_NORMALIZATION
K253664,FDA_AI_LIST_2026-06-29,97,QNP,MATCH_AFTER_DATE_NORMALIZATION
K250959,FDA_AI_LIST_2026-06-29,98,IYN,MATCH_AFTER_DATE_NORMALIZATION
K252557,FDA_AI_LIST_2026-06-29,99,IYN,MATCH_AFTER_DATE_NORMALIZATION
K252670,FDA_AI_LIST_2026-06-29,100,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252284,FDA_AI_LIST_2026-06-29,101,DQD,MATCH_AFTER_DATE_NORMALIZATION
K252838,FDA_AI_LIST_2026-06-29,102,LNH,MATCH_AFTER_DATE_NORMALIZATION
K252029,FDA_AI_LIST_2026-06-29,103,QIH,MATCH_AFTER_DATE_NORMALIZATION
K250914,FDA_AI_LIST_2026-06-29,104,QIH,MATCH_AFTER_DATE_NORMALIZATION
K253516,FDA_AI_LIST_2026-06-29,105,MXD,MATCH_AFTER_DATE_NORMALIZATION
K252235,FDA_AI_LIST_2026-06-29,106,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251416,FDA_AI_LIST_2026-06-29,107,QJU,MATCH_AFTER_DATE_NORMALIZATION
K252922,FDA_AI_LIST_2026-06-29,108,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251763,FDA_AI_LIST_2026-06-29,109,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252204,FDA_AI_LIST_2026-06-29,110,PPW,MATCH_AFTER_DATE_NORMALIZATION
K253489,FDA_AI_LIST_2026-06-29,111,LNH,MATCH_AFTER_DATE_NORMALIZATION
K252482,FDA_AI_LIST_2026-06-29,112,QFM,MATCH_AFTER_DATE_NORMALIZATION
K253141,FDA_AI_LIST_2026-06-29,113,DQK,MATCH_AFTER_DATE_NORMALIZATION
K252497,FDA_AI_LIST_2026-06-29,114,MNR,MATCH_AFTER_DATE_NORMALIZATION
K243449,FDA_AI_LIST_2026-06-29,115,QKQ,MATCH_AFTER_DATE_NORMALIZATION
K252294,FDA_AI_LIST_2026-06-29,116,POK,MATCH_AFTER_DATE_NORMALIZATION
K251936,FDA_AI_LIST_2026-06-29,117,NCG,MATCH_AFTER_DATE_NORMALIZATION
K251657,FDA_AI_LIST_2026-06-29,118,BZD,MATCH_AFTER_DATE_NORMALIZATION
K250780,FDA_AI_LIST_2026-06-29,119,QKB,MATCH_AFTER_DATE_NORMALIZATION
K251514,FDA_AI_LIST_2026-06-29,120,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252504,FDA_AI_LIST_2026-06-29,121,MYE,MATCH_AFTER_DATE_NORMALIZATION
K251203,FDA_AI_LIST_2026-06-29,122,OEB,MATCH_AFTER_DATE_NORMALIZATION
K252103,FDA_AI_LIST_2026-06-29,123,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251370,FDA_AI_LIST_2026-06-29,124,KPS,MATCH_AFTER_DATE_NORMALIZATION
K252217,FDA_AI_LIST_2026-06-29,125,JAK,MATCH_AFTER_DATE_NORMALIZATION
K253269,FDA_AI_LIST_2026-06-29,126,OXO,MATCH_AFTER_DATE_NORMALIZATION
K250694,FDA_AI_LIST_2026-06-29,127,QAS,MATCH_AFTER_DATE_NORMALIZATION
K253310,FDA_AI_LIST_2026-06-29,128,IYN,MATCH_AFTER_DATE_NORMALIZATION
K252328,FDA_AI_LIST_2026-06-29,129,IYN,MATCH_AFTER_DATE_NORMALIZATION
K252366,FDA_AI_LIST_2026-06-29,130,QAS,MATCH_AFTER_DATE_NORMALIZATION
K251293,FDA_AI_LIST_2026-06-29,131,QUO,MATCH_AFTER_DATE_NORMALIZATION
K251506,FDA_AI_LIST_2026-06-29,132,POS,MATCH_AFTER_DATE_NORMALIZATION
P130020/S005,FDA_AI_LIST_2026-06-29,133,OTE,MATCH_AFTER_DATE_NORMALIZATION
K251822,FDA_AI_LIST_2026-06-29,134,LNH,MATCH_AFTER_DATE_NORMALIZATION
K252086,FDA_AI_LIST_2026-06-29,135,MYN,MATCH_AFTER_DATE_NORMALIZATION
K252330,FDA_AI_LIST_2026-06-29,136,OLZ,MATCH_AFTER_DATE_NORMALIZATION
K250525,FDA_AI_LIST_2026-06-29,137,MYN,MATCH_AFTER_DATE_NORMALIZATION
K251078,FDA_AI_LIST_2026-06-29,138,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252452,FDA_AI_LIST_2026-06-29,139,QIH,MATCH_AFTER_DATE_NORMALIZATION
K250264,FDA_AI_LIST_2026-06-29,140,MYN,MATCH_AFTER_DATE_NORMALIZATION
K252041,FDA_AI_LIST_2026-06-29,141,QWO,MATCH_AFTER_DATE_NORMALIZATION
K253265,FDA_AI_LIST_2026-06-29,142,QAS,MATCH_AFTER_DATE_NORMALIZATION
K250330,FDA_AI_LIST_2026-06-29,143,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251532,FDA_AI_LIST_2026-06-29,144,LLZ,MATCH_AFTER_DATE_NORMALIZATION
K252074,FDA_AI_LIST_2026-06-29,145,IYN,MATCH_AFTER_DATE_NORMALIZATION
K250337,FDA_AI_LIST_2026-06-29,146,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251985,FDA_AI_LIST_2026-06-29,147,IYN,MATCH_AFTER_DATE_NORMALIZATION
K251963,FDA_AI_LIST_2026-06-29,148,IYN,MATCH_AFTER_DATE_NORMALIZATION
K250882,FDA_AI_LIST_2026-06-29,149,MNR,MATCH_AFTER_DATE_NORMALIZATION
K251027,FDA_AI_LIST_2026-06-29,150,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251059,FDA_AI_LIST_2026-06-29,151,QIH,MATCH_AFTER_DATE_NORMALIZATION
K250288,FDA_AI_LIST_2026-06-29,152,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252298,FDA_AI_LIST_2026-06-29,153,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252665,FDA_AI_LIST_2026-06-29,154,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251673,FDA_AI_LIST_2026-06-29,155,SGH,MATCH_AFTER_DATE_NORMALIZATION
K251355,FDA_AI_LIST_2026-06-29,156,QHA,MATCH_AFTER_DATE_NORMALIZATION
K251602,FDA_AI_LIST_2026-06-29,157,OWB,MATCH_AFTER_DATE_NORMALIZATION
K251082,FDA_AI_LIST_2026-06-29,158,PZP,MATCH_AFTER_DATE_NORMALIZATION
K251651,FDA_AI_LIST_2026-06-29,159,IYN,MATCH_AFTER_DATE_NORMALIZATION
K252214,FDA_AI_LIST_2026-06-29,160,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252007,FDA_AI_LIST_2026-06-29,161,QIH,MATCH_AFTER_DATE_NORMALIZATION
K250662,FDA_AI_LIST_2026-06-29,162,JAK,MATCH_AFTER_DATE_NORMALIZATION
K252178,FDA_AI_LIST_2026-06-29,163,QNP,MATCH_AFTER_DATE_NORMALIZATION
K251639,FDA_AI_LIST_2026-06-29,164,SBF,MATCH_AFTER_DATE_NORMALIZATION
K250766,FDA_AI_LIST_2026-06-29,165,JAK,MATCH_AFTER_DATE_NORMALIZATION
K250023,FDA_AI_LIST_2026-06-29,166,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252054,FDA_AI_LIST_2026-06-29,167,SBF,MATCH_AFTER_DATE_NORMALIZATION
K252105,FDA_AI_LIST_2026-06-29,168,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252371,FDA_AI_LIST_2026-06-29,169,LNH,MATCH_AFTER_DATE_NORMALIZATION
K251527,FDA_AI_LIST_2026-06-29,170,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251483,FDA_AI_LIST_2026-06-29,171,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251987,FDA_AI_LIST_2026-06-29,172,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251167,FDA_AI_LIST_2026-06-29,173,KPR,MATCH_AFTER_DATE_NORMALIZATION
K251002,FDA_AI_LIST_2026-06-29,174,MYN,MATCH_AFTER_DATE_NORMALIZATION
K250649,FDA_AI_LIST_2026-06-29,175,QYE,MATCH_AFTER_DATE_NORMALIZATION
K250369,FDA_AI_LIST_2026-06-29,176,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251386,FDA_AI_LIST_2026-06-29,177,LNH,MATCH_AFTER_DATE_NORMALIZATION
K251221,FDA_AI_LIST_2026-06-29,178,MXD,MATCH_AFTER_DATE_NORMALIZATION
K250237,FDA_AI_LIST_2026-06-29,179,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252586,FDA_AI_LIST_2026-06-29,180,QNP,MATCH_AFTER_DATE_NORMALIZATION
K251518,FDA_AI_LIST_2026-06-29,181,DQK,MATCH_AFTER_DATE_NORMALIZATION
K251368,FDA_AI_LIST_2026-06-29,182,IYN,MATCH_AFTER_DATE_NORMALIZATION
K252595,FDA_AI_LIST_2026-06-29,183,DQD,MATCH_AFTER_DATE_NORMALIZATION
K251399,FDA_AI_LIST_2026-06-29,184,LNH,MATCH_AFTER_DATE_NORMALIZATION
K250507,FDA_AI_LIST_2026-06-29,185,SFR,MATCH_AFTER_DATE_NORMALIZATION
K251316,FDA_AI_LIST_2026-06-29,186,OLO,MATCH_AFTER_DATE_NORMALIZATION
K244002,FDA_AI_LIST_2026-06-29,187,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251072,FDA_AI_LIST_2026-06-29,188,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251682,FDA_AI_LIST_2026-06-29,189,LNH,MATCH_AFTER_DATE_NORMALIZATION
K251931,FDA_AI_LIST_2026-06-29,190,QTZ,MATCH_AFTER_DATE_NORMALIZATION
K251610,FDA_AI_LIST_2026-06-29,191,QAS,MATCH_AFTER_DATE_NORMALIZATION
K251533,FDA_AI_LIST_2026-06-29,192,QAS,MATCH_AFTER_DATE_NORMALIZATION
K250064,FDA_AI_LIST_2026-06-29,193,MUJ,MATCH_AFTER_DATE_NORMALIZATION
K251656,FDA_AI_LIST_2026-06-29,194,QIH,MATCH_AFTER_DATE_NORMALIZATION
K252539,FDA_AI_LIST_2026-06-29,195,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251408,FDA_AI_LIST_2026-06-29,196,SAO,MATCH_AFTER_DATE_NORMALIZATION
K250753,FDA_AI_LIST_2026-06-29,197,MYN,MATCH_AFTER_DATE_NORMALIZATION
K251106,FDA_AI_LIST_2026-06-29,198,IYN,MATCH_AFTER_DATE_NORMALIZATION
K250003,FDA_AI_LIST_2026-06-29,199,PZM,MATCH_AFTER_DATE_NORMALIZATION
K250290,FDA_AI_LIST_2026-06-29,200,LLZ,MATCH_AFTER_DATE_NORMALIZATION
K243859,FDA_AI_LIST_2026-06-29,201,QIH,MATCH_AFTER_DATE_NORMALIZATION
K250788,FDA_AI_LIST_2026-06-29,202,KPR,MATCH_AFTER_DATE_NORMALIZATION
K243687,FDA_AI_LIST_2026-06-29,203,QME,MATCH_AFTER_DATE_NORMALIZATION
K251983,FDA_AI_LIST_2026-06-29,204,QAS,MATCH_AFTER_DATE_NORMALIZATION
K252362,FDA_AI_LIST_2026-06-29,205,QIH,MATCH_AFTER_DATE_NORMALIZATION
K243685,FDA_AI_LIST_2026-06-29,206,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251029,FDA_AI_LIST_2026-06-29,207,LNH,MATCH_AFTER_DATE_NORMALIZATION
K251590,FDA_AI_LIST_2026-06-29,208,QAS,MATCH_AFTER_DATE_NORMALIZATION
K251837,FDA_AI_LIST_2026-06-29,209,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251481,FDA_AI_LIST_2026-06-29,210,IYN,MATCH_AFTER_DATE_NORMALIZATION
K251747,FDA_AI_LIST_2026-06-29,211,QIH,MATCH_AFTER_DATE_NORMALIZATION
K250818,FDA_AI_LIST_2026-06-29,212,QRG,MATCH_AFTER_DATE_NORMALIZATION
K243851,FDA_AI_LIST_2026-06-29,213,PBH,MATCH_AFTER_DATE_NORMALIZATION
K250755,FDA_AI_LIST_2026-06-29,214,QIH,MATCH_AFTER_DATE_NORMALIZATION
K251494,FDA_AI_LIST_2026-06-29,215,DQD,MATCH_AFTER_DATE_NORMALIZATION
K251873,FDA_AI_LIST_2026-06-29,216,QDQ,MATCH_AFTER_DATE_NORMALIZATION
K251629,FDA_AI_LIST_2026-06-29,217,QIH,MATCH_AFTER_DATE_NORMALIZATION
