annotation_id,submission_number,field,label
DEN200022:action,DEN200022,action,MONITORING_OR_FOLLOW_UP
DEN200030:input,DEN200030,input,OTHER
DEN200030:output,DEN200030,output,OTHER
DEN200030:user,DEN200030,user,OTHER_CLINICIAN
DEN200030:setting,DEN200030,setting,PROCEDURAL_OR_OPERATING_ROOM
DEN200030:action,DEN200030,action,TREATMENT_OR_PROCEDURE_PLANNING
DEN200038:input,DEN200038,input,OTHER
DEN200038:output,DEN200038,output,MEASUREMENT_OR_QUANTIFICATION
DEN200038:user,DEN200038,user,OTHER_CLINICIAN
DEN200038:setting,DEN200038,setting,MONITORING
DEN200038:setting,DEN200038,setting,OTHER
DEN200038:setting,DEN200038,setting,OUTPATIENT
DEN200038:action,DEN200038,action,MONITORING_OR_FOLLOW_UP
DEN200052:input,DEN200052,input,CLINICAL_TABULAR_OR_TEXT
DEN200052:output,DEN200052,output,RISK_SCORE_OR_PREDICTION
DEN200052:user,DEN200052,user,OTHER_PHYSICIAN
DEN200052:setting,DEN200052,setting,LABORATORY
DEN200052:setting,DEN200052,setting,OTHER
DEN200052:action,DEN200052,action,INTERPRETATION_OR_DIAGNOSIS
DEN200055:input,DEN200055,input,AUDIO_OR_VIDEO
DEN200055:output,DEN200055,output,DETECTION_OR_ALERT
DEN200055:output,DEN200055,output,SEGMENTATION_OR_LOCALIZATION
DEN200055:user,DEN200055,user,OTHER_PHYSICIAN
DEN200055:setting,DEN200055,setting,PROCEDURAL_OR_OPERATING_ROOM
DEN200055:setting,DEN200055,setting,SCREENING
DEN200055:action,DEN200055,action,INTERPRETATION_OR_DIAGNOSIS
DEN200069:input,DEN200069,input,CLINICAL_TABULAR_OR_TEXT
DEN200069:output,DEN200069,output,CLASSIFICATION_OR_DIAGNOSIS
DEN200069:user,DEN200069,user,OTHER_CLINICIAN
DEN200069:setting,DEN200069,setting,DIAGNOSTIC_INTERPRETATION
DEN200069:action,DEN200069,action,INTERPRETATION_OR_DIAGNOSIS
DEN200080:input,DEN200080,input,MEDICAL_IMAGE
DEN200080:output,DEN200080,output,CLASSIFICATION_OR_DIAGNOSIS
DEN200080:output,DEN200080,output,DETECTION_OR_ALERT
DEN200080:output,DEN200080,output,SEGMENTATION_OR_LOCALIZATION
DEN200080:user,DEN200080,user,OTHER_PHYSICIAN
DEN200080:setting,DEN200080,setting,DIAGNOSTIC_INTERPRETATION
DEN200080:action,DEN200080,action,INTERPRETATION_OR_DIAGNOSIS
DEN210022:input,DEN210022,input,PHYSIOLOGICAL_SIGNAL
DEN210022:output,DEN210022,output,MEASUREMENT_OR_QUANTIFICATION
DEN210022:user,DEN210022,user,OTHER_CLINICIAN
DEN210022:user,DEN210022,user,OTHER_PHYSICIAN
DEN210022:setting,DEN210022,setting,MONITORING
DEN210022:setting,DEN210022,setting,PROCEDURAL_OR_OPERATING_ROOM
DEN210022:action,DEN210022,action,MONITORING_OR_FOLLOW_UP
DEN210022:action,DEN210022,action,THERAPY_DOSE_OR_DEVICE_CONTROL
DEN210035:input,DEN210035,input,MEDICAL_IMAGE
DEN210035:output,DEN210035,output,SEGMENTATION_OR_LOCALIZATION
DEN210035:user,DEN210035,user,LABORATORY_PROFESSIONAL
DEN210035:user,DEN210035,user,OTHER_PHYSICIAN
DEN210035:setting,DEN210035,setting,SCREENING
DEN210035:action,DEN210035,action,INTERPRETATION_OR_DIAGNOSIS
DEN220024:input,DEN220024,input,MEDICAL_IMAGE
DEN220024:output,DEN220024,output,SEGMENTATION_OR_LOCALIZATION
DEN220024:user,DEN220024,user,OTHER_CLINICIAN
DEN220024:setting,DEN220024,setting,PROCEDURAL_OR_OPERATING_ROOM
DEN220024:action,DEN220024,action,TREATMENT_OR_PROCEDURE_PLANNING
DEN220040:input,DEN220040,input,MEDICAL_IMAGE
DEN220040:output,DEN220040,output,CLASSIFICATION_OR_DIAGNOSIS
DEN220040:user,DEN220040,user,OTHER_CLINICIAN
DEN220040:setting,DEN220040,setting,DIAGNOSTIC_INTERPRETATION
