bridge_id,annotation_id,subject_submission_number,anchor_document_submission_number,anchor_purpose,source_url,source_record_ids,document_sha256,text_sha256,physical_page,normalized_char_start,normalized_char_end,quote_sha256,normalized_quote_sha256,normalized_quote_characters
BRIDGE3c9bb03c937b0748,K213603:action,K213603,K213603,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,SRC02107,004a6c5d4aff57abda02423a3499fcef8544225c9caaea579d77755086bb3294,c787f37537074eb92f94ca871ab23793158d795c996ee541485c5ab2ddcac9c9,5,1689,1928,1a3f9278e80f62e7ced019fff97b26bcd6869eedefe5b557fe04d5165789c7b0,1a3f9278e80f62e7ced019fff97b26bcd6869eedefe5b557fe04d5165789c7b0,239
BRIDGE705e261bddc7610e,K213603:component_status,K213603,K213603,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,SRC02107,004a6c5d4aff57abda02423a3499fcef8544225c9caaea579d77755086bb3294,c787f37537074eb92f94ca871ab23793158d795c996ee541485c5ab2ddcac9c9,4,784,826,e16a9915f88402b44846ce8ee908e355315c3b1c2b06afa724dd4753aa9713ab,e16a9915f88402b44846ce8ee908e355315c3b1c2b06afa724dd4753aa9713ab,42
BRIDGE3aa0483e88ba2151,K213603:component_status,K213603,K213603,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,SRC02107,004a6c5d4aff57abda02423a3499fcef8544225c9caaea579d77755086bb3294,c787f37537074eb92f94ca871ab23793158d795c996ee541485c5ab2ddcac9c9,5,1689,1928,1a3f9278e80f62e7ced019fff97b26bcd6869eedefe5b557fe04d5165789c7b0,1a3f9278e80f62e7ced019fff97b26bcd6869eedefe5b557fe04d5165789c7b0,239
BRIDGEd36bdb5bfea04a68,K213603:input,K213603,K213603,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,SRC02107,004a6c5d4aff57abda02423a3499fcef8544225c9caaea579d77755086bb3294,c787f37537074eb92f94ca871ab23793158d795c996ee541485c5ab2ddcac9c9,4,784,826,e16a9915f88402b44846ce8ee908e355315c3b1c2b06afa724dd4753aa9713ab,e16a9915f88402b44846ce8ee908e355315c3b1c2b06afa724dd4753aa9713ab,42
BRIDGEfa01796f236f2aac,K213603:input,K213603,K213603,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,SRC02107,004a6c5d4aff57abda02423a3499fcef8544225c9caaea579d77755086bb3294,c787f37537074eb92f94ca871ab23793158d795c996ee541485c5ab2ddcac9c9,5,1689,1928,1a3f9278e80f62e7ced019fff97b26bcd6869eedefe5b557fe04d5165789c7b0,1a3f9278e80f62e7ced019fff97b26bcd6869eedefe5b557fe04d5165789c7b0,239
BRIDGEb69e36f89d4e0baa,K213603:output,K213603,K213603,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,SRC02107,004a6c5d4aff57abda02423a3499fcef8544225c9caaea579d77755086bb3294,c787f37537074eb92f94ca871ab23793158d795c996ee541485c5ab2ddcac9c9,4,784,826,e16a9915f88402b44846ce8ee908e355315c3b1c2b06afa724dd4753aa9713ab,e16a9915f88402b44846ce8ee908e355315c3b1c2b06afa724dd4753aa9713ab,42
BRIDGE6463e946d4528c23,K213603:output,K213603,K213603,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,SRC02107,004a6c5d4aff57abda02423a3499fcef8544225c9caaea579d77755086bb3294,c787f37537074eb92f94ca871ab23793158d795c996ee541485c5ab2ddcac9c9,5,1689,1928,1a3f9278e80f62e7ced019fff97b26bcd6869eedefe5b557fe04d5165789c7b0,1a3f9278e80f62e7ced019fff97b26bcd6869eedefe5b557fe04d5165789c7b0,239
BRIDGE1d10d5e4d4e2bdf9,K213603:user,K213603,K213603,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,SRC02107,004a6c5d4aff57abda02423a3499fcef8544225c9caaea579d77755086bb3294,c787f37537074eb92f94ca871ab23793158d795c996ee541485c5ab2ddcac9c9,4,784,826,e16a9915f88402b44846ce8ee908e355315c3b1c2b06afa724dd4753aa9713ab,e16a9915f88402b44846ce8ee908e355315c3b1c2b06afa724dd4753aa9713ab,42
BRIDGE9ab8c2fbf9f06c65,K213603:user,K213603,K213603,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213603.pdf,SRC02107,004a6c5d4aff57abda02423a3499fcef8544225c9caaea579d77755086bb3294,c787f37537074eb92f94ca871ab23793158d795c996ee541485c5ab2ddcac9c9,5,1689,1928,1a3f9278e80f62e7ced019fff97b26bcd6869eedefe5b557fe04d5165789c7b0,1a3f9278e80f62e7ced019fff97b26bcd6869eedefe5b557fe04d5165789c7b0,239
BRIDGEbd56fbc51fab026a,K213938:action,K213938,K213938,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213938.pdf,SRC02113,e142ed5ee63f9cfa1e1dd5747c1cc2489df032b86e58cf1deeabc85ebcc5e620,34ea542ed92c0992ab3b348b0f94cd6002fa00e4d226d8c54b2a6e1c64d88d91,6,1270,1459,51894f0f2f03f285b8de778381276535b0c4639365701931ee815982a0a0a60a,51894f0f2f03f285b8de778381276535b0c4639365701931ee815982a0a0a60a,189
BRIDGE0d2f062c7baba3a5,K213938:component_status,K213938,K213938,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213938.pdf,SRC02113,e142ed5ee63f9cfa1e1dd5747c1cc2489df032b86e58cf1deeabc85ebcc5e620,34ea542ed92c0992ab3b348b0f94cd6002fa00e4d226d8c54b2a6e1c64d88d91,6,1270,1459,51894f0f2f03f285b8de778381276535b0c4639365701931ee815982a0a0a60a,51894f0f2f03f285b8de778381276535b0c4639365701931ee815982a0a0a60a,189
BRIDGEde76131701a99c2a,K213938:input,K213938,K213938,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213938.pdf,SRC02113,e142ed5ee63f9cfa1e1dd5747c1cc2489df032b86e58cf1deeabc85ebcc5e620,34ea542ed92c0992ab3b348b0f94cd6002fa00e4d226d8c54b2a6e1c64d88d91,6,1270,1459,51894f0f2f03f285b8de778381276535b0c4639365701931ee815982a0a0a60a,51894f0f2f03f285b8de778381276535b0c4639365701931ee815982a0a0a60a,189
BRIDGEa30dec78e9a47b6c,K213938:output,K213938,K213938,SUBJECT_SOURCE_ADDITIONAL_DETAIL,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213938.pdf,SRC02113,e142ed5ee63f9cfa1e1dd5747c1cc2489df032b86e58cf1deeabc85ebcc5e620,34ea542ed92c0992ab3b348b0f94cd6002fa00e4d226d8c54b2a6e1c64d88d91,6,1373,1459,0b761d1ef1eac9a3a5c63814343623437acd4662d3adfcb77d5b0a27582c60e6,0b761d1ef1eac9a3a5c63814343623437acd4662d3adfcb77d5b0a27582c60e6,86
BRIDGEd4db22fab41fd440,K213938:output,K213938,K213938,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213938.pdf,SRC02113,e142ed5ee63f9cfa1e1dd5747c1cc2489df032b86e58cf1deeabc85ebcc5e620,34ea542ed92c0992ab3b348b0f94cd6002fa00e4d226d8c54b2a6e1c64d88d91,6,1270,1459,51894f0f2f03f285b8de778381276535b0c4639365701931ee815982a0a0a60a,51894f0f2f03f285b8de778381276535b0c4639365701931ee815982a0a0a60a,189
BRIDGE78b91cf9ad081c75,K213938:setting,K213938,K213938,SUBJECT_TO_ASSOCIATED_SOURCE_BRIDGE,https://www.accessdata.fda.gov/cdrh_docs/pdf21/K213938.pdf,SRC02113,e142ed5ee63f9cfa1e1dd5747c1cc2489df032b86e58cf1deeabc85ebcc5e620,34ea542ed92c0992ab3b348b0f94cd6002fa00e4d226d8c54b2a6e1c64d88d91,6,1270,1459,51894f0f2f03f285b8de778381276535b0c4639365701931ee815982a0a0a60a,51894f0f2f03f285b8de778381276535b0c4639365701931ee815982a0a0a60a,189
